"Player","Team","PS","Min","3M","3A","FTM","FTA","TR","AS","ST","TO","BK","PF","DQ","PTS","TC","Sta","+/-"
"acy,quincy","sac","SF",877,0.021664766248574687,0.3877551020408163,0.05701254275940707,0.7352941176470589,0.21436716077537057,0.03078677309007982,0.0330672748004561,0.03078677309007982,0.027366020524515394,0.11744583808437856,0,0.3500570125427594,3,29,-128
"adams,jordan","mem","SG",15,0.0,0.0,0.2,0.6,0.13333333333333333,0.2,0.2,0.13333333333333333,0.0,0.13333333333333333,0,0.4666666666666667,0,0,4
"adams,steven","okl","C",2019,0.0,0.0,0.05646359583952452,0.5816326530612245,0.26300148588410105,0.030212976721149084,0.020802377414561663,0.041604754829123326,0.04408122833085686,0.1104507181773155,2,0.3150074294205052,2,80,477
"afflalo,arron","nyk","SG",2359,0.03857566765578635,0.38235294117647056,0.04662992793556592,0.8396946564885496,0.11275964391691394,0.061466723187791436,0.0105977108944468,0.0347604917337855,0.00423908435777872,0.06019499788045782,1,0.3853327681220856,1,57,-154
"ajinca,alexis","nor","C",863,0.0,0.0,0.06025492468134415,0.8387096774193549,0.31170336037079954,0.03707995365005794,0.0220162224797219,0.06257242178447277,0.04171494785631518,0.1552723059096176,0,0.4078794901506373,2,17,-68
"aldrich,cole","lac","C",802,0.0,0.0,0.07481296758104738,0.7142857142857143,0.35910224438902744,0.06234413965087282,0.05860349127182045,0.0798004987531172,0.08478802992518704,0.17331670822942644,1,0.4089775561097257,0,5,-28
"aldridge,lamarcu","san","PF",2260,0.0,0.0,0.11460176991150442,0.8576158940397351,0.27920353982300883,0.048672566371681415,0.016814159292035398,0.04380530973451328,0.03584070796460177,0.0668141592920354,0,0.5889380530973451,0,74,510
"alexander,cliff","por","PF",37,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.02702702702702703,0.02702702702702703,0.05405405405405406,0.02702702702702703,0,0.2702702702702703,0,0,-14
"allen,lavoy","ind","PF",1601,0.0,0.0,0.02873204247345409,0.6301369863013698,0.26483447845096814,0.047470331043098064,0.016239850093691444,0.043098063710181135,0.02623360399750156,0.09181761399125546,1,0.2673329169269207,0,28,190
"allen,tony","mem","SG",1622,0.009247842170160296,0.35714285714285715,0.055487053020961775,0.6521739130434783,0.18310727496917387,0.04315659679408138,0.06720098643649815,0.04808877928483354,0.011097410604192354,0.10789149198520345,1,0.32983970406905055,1,56,-92
"aminu,al-farouq","por","SF",2342,0.053800170794193,0.36103151862464183,0.04910333048676345,0.7371794871794872,0.2126387702818104,0.05892399658411614,0.030742954739538857,0.05123825789923143,0.022630230572160546,0.07301451750640478,0,0.3582408198121264,3,82,42
"amundson,lou","nyk","PF",199,0.0,0.0,0.07035175879396985,0.5185185185185185,0.24623115577889448,0.06030150753768844,0.03015075376884422,0.07537688442211055,0.035175879396984924,0.22110552763819097,1,0.2613065326633166,1,0,-47
"andersen,chris","mem","PF",404,0.009900990099009901,0.2857142857142857,0.06188118811881188,0.6944444444444444,0.24257425742574257,0.0297029702970297,0.03712871287128713,0.022277227722772276,0.03217821782178218,0.07178217821782178,0,0.2599009900990099,0,15,-70
"anderson,alan","was","SG",193,0.06217616580310881,0.32432432432432434,0.05699481865284974,0.7333333333333333,0.13989637305699482,0.07253886010362694,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.12953367875647667,0,0.33678756476683935,0,0,30
"anderson,james","sac","SG",721,0.0319001386962552,0.26744186046511625,0.030513176144244106,0.7586206896551724,0.11927877947295423,0.056865464632454926,0.02912621359223301,0.05825242718446602,0.019417475728155338,0.07489597780859916,0,0.24826629680998613,0,15,-83
"anderson,justin","dal","SG",644,0.034161490683229816,0.26506024096385544,0.06832298136645963,0.8,0.20652173913043478,0.04503105590062112,0.029503105590062112,0.037267080745341616,0.03881987577639751,0.06987577639751552,0,0.32298136645962733,0,9,7
"anderson,kyle","san","SF",1247,0.009623095429029671,0.32432432432432434,0.04971932638331997,0.7469879518072289,0.19647153167602247,0.09863672814755413,0.048115477145148355,0.04731355252606255,0.023255813953488372,0.07778668805132317,0,0.2806736166800321,0,11,204
"anderson,ryan","nor","PF",2011,0.06514172053704624,0.36694677871148457,0.0989557434112382,0.8728070175438597,0.19741422178020884,0.03679761312779711,0.018896071606166086,0.04475385380407757,0.012431626056688214,0.05420188960716062,0,0.5589259075087022,3,7,30
"antetokounmpo,gi","mil","SF",2825,0.00991150442477876,0.2545454545454545,0.1047787610619469,0.7237163814180929,0.21699115044247788,0.12283185840707965,0.03327433628318584,0.07362831858407079,0.04,0.09132743362831858,7,0.4778761061946903,1,79,-153
"antetokounmpo,th","nyk","SF",7,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0,0.8571428571428571,0,0,-6
"anthony,carmelo","nyk","SF",2529,0.04151838671411625,0.3387096774193548,0.1320680110715698,0.8287841191066998,0.2202451561882167,0.11822854883353104,0.024515618821668642,0.06959272439699486,0.015025701858442072,0.0711743772241993,1,0.6219849742981416,4,72,-42
"anthony,joel","det","C",95,0.0,0.0,0.06315789473684211,0.75,0.22105263157894736,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.12631578947368421,0.15789473684210525,0,0.18947368421052632,0,0,-17
"appling,keith","orl","PG",27,0.0,0.0,0.07407407407407407,1.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.0,0.18518518518518517,0,0.2222222222222222,0,0,14
"ariza,trevor","hou","SF",2860,0.06468531468531469,0.3722334004024145,0.044055944055944055,0.782608695652174,0.12797202797202797,0.06573426573426573,0.056293706293706294,0.03951048951048951,0.00909090909090909,0.061888111888111885,0,0.3583916083916084,2,81,45
"artest,ron","lal","SF",588,0.04421768707482993,0.30952380952380953,0.06802721088435375,0.7017543859649122,0.15136054421768708,0.04591836734693878,0.03741496598639456,0.025510204081632654,0.01870748299319728,0.11394557823129252,1,0.29931972789115646,1,5,-65
"arthur,darrell","den","PF",1517,0.02966381015161503,0.38461538461538464,0.026367831245880026,0.7547169811320755,0.1931443638760712,0.06328279499011207,0.03493737640079104,0.043506921555702044,0.03164139749505603,0.12195121951219512,1,0.34739617666446937,2,16,-52
"asik,omer","nor","C",1181,0.0,0.0,0.05165114309906858,0.5446428571428571,0.34970364098221846,0.02201524132091448,0.017781541066892465,0.05080440304826418,0.01947502116850127,0.10499576629974598,0,0.2277730736663844,0,64,-206
"augustin,d.j.","den","PG",1182,0.05752961082910321,0.40236686390532544,0.08714043993231811,0.8046875,0.08037225042301184,0.16751269035532995,0.032148900169204735,0.07106598984771574,0.00338409475465313,0.07191201353637902,0,0.39509306260575294,0,0,-34
"ayres,jeff","lac","PF",95,0.0,0.0,0.042105263157894736,1.0,0.2,0.031578947368421054,0.0,0.05263157894736842,0.0,0.16842105263157894,0,0.25263157894736843,0,0,-37
"babbitt,luke","nor","SF",847,0.05194805194805195,0.4036697247706422,0.04604486422668241,0.78,0.17473435655253838,0.06257378984651712,0.012987012987012988,0.02715466351829988,0.008264462809917356,0.10625737898465171,0,0.3860684769775679,1,13,-33
"bairstow,cameron","chi","PF",103,0.009708737864077669,0.2,0.06796116504854369,0.875,0.27184466019417475,0.05825242718446602,0.019417475728155338,0.038834951456310676,0.02912621359223301,0.18446601941747573,0,0.3300970873786408,0,2,-8
"barbosa,leandro","gsw","SG",1079,0.03614457831325301,0.35135135135135137,0.04819277108433735,0.8387096774193549,0.10843373493975904,0.07599629286376275,0.04077849860982391,0.04911955514365153,0.009267840593141797,0.09916589434661724,0,0.40129749768303985,1,0,45
"barea,j.j.","dal","PG",1666,0.060024009603841535,0.3861003861003861,0.04441776710684274,0.7708333333333334,0.09123649459783914,0.18067226890756302,0.015606242496998799,0.06782713085234093,0.0012004801920768306,0.06602641056422569,0,0.4849939975990396,3,16,-72
"bargnani,andrea","bro","C",634,0.00473186119873817,0.2,0.07413249211356467,0.8245614035087719,0.1529968454258675,0.028391167192429023,0.006309148264984227,0.04100946372239748,0.014195583596214511,0.09621451104100946,0,0.4794952681388013,0,0,-188
"barnes,harrison","gsw","SF",2043,0.040137053352912386,0.38317757009345793,0.049926578560939794,0.7611940298507462,0.15907978463044542,0.05726872246696035,0.020068526676456193,0.028389623103279492,0.004894762604013705,0.06656877141458639,1,0.3788546255506608,0,59,448
"barnes,matt","mem","SF",2190,0.054337899543379,0.3216216216216216,0.050684931506849315,0.8043478260869565,0.191324200913242,0.07442922374429224,0.03561643835616438,0.055251141552511415,0.026027397260273973,0.10684931506849316,1,0.3461187214611872,4,45,-212
"barton,will","den","SG",2355,0.0475583864118896,0.345679012345679,0.09171974522292993,0.8059701492537313,0.20254777070063695,0.08662420382165605,0.030148619957537155,0.05902335456475584,0.016560509554140127,0.062420382165605096,0,0.5010615711252654,2,1,-132
"bass,brandon","lal","PF",1342,0.0,0.0,0.09314456035767511,0.8445945945945946,0.21236959761549926,0.05514157973174367,0.02459016393442623,0.03129657228017884,0.040983606557377046,0.09314456035767511,1,0.3524590163934426,0,0,-22
"batum,nicolas","cha","SF",2453,0.05666530778638402,0.3483709273182957,0.06644924582144313,0.8489583333333334,0.17448022829188747,0.16428862617203424,0.026498165511618425,0.08357113738279658,0.017529555646147575,0.04647370566653078,0,0.4264166326946596,1,70,211
"bayless,jerryd","mil","PG",1506,0.06706507304116865,0.4391304347826087,0.04648074369189907,0.7777777777777778,0.09362549800796813,0.10823373173970784,0.031208499335989376,0.04847277556440903,0.00796812749003984,0.07370517928286853,0,0.35922974767596283,1,18,-185
